title,url
Literary Tourism: A Magical Harry Potter Guidebook to Scotland and England,https://bookriot.com/2017/11/12/literary-tourism-magical-harry-potter-guidebook-scotland-england/
Literary Tourism: Cambridge UK,https://bookriot.com/2017/10/15/literary-tourism-cambridge-uk/
"Literary Tourism: Pittsburgh, PA",https://bookriot.com/2017/10/01/literary-tourism-pittsburgh-pa/
"Literary Tourism: Cleveland, Ohio",https://bookriot.com/2017/09/17/literary-tourism-cleveland-ohio/
Literary Tourism: Storybook Island in South Dakota,https://bookriot.com/2017/09/03/literary-tourism-storybook-island-south-dakota/
"Literary Tourism: Saskatchewan, Canada",https://bookriot.com/2017/08/20/literary-tourism-saskatchewan-canada/
Literary Tourism Central Pennsylvania,https://bookriot.com/2017/08/13/literary-tourism-central-pennsylvania/
"Literary Tourism: Cartagena de Indias, Colombia",https://bookriot.com/2017/07/30/literary-tourism-cartagena-de-indias-colombia/
"Literary Tourism: County Kerry, Ireland",https://bookriot.com/2017/07/23/literary-tourism-county-kerry-ireland/
Literary Tourism: Jane Austen-Themed Destinations,https://bookriot.com/2017/07/18/literary-tourism-jane-austen-themed-destination/
"Literary Tourism: Orlando, Florida",https://bookriot.com/2017/07/16/literary-tourism-orlando-florida/
Literary Tourism: Munich Germany,https://bookriot.com/2017/07/02/literary-tourism-munich-germany/
Literary Tourism: An Off-the-Map Bookish Tour of Chicago,https://bookriot.com/2017/06/14/614-literary-tourism-an-off-the-map-bookish-tour-of-chicago/
"Literary Tourism: Lincoln, Nebraska",https://bookriot.com/2017/06/11/literary-tourism-lincoln-nebraska/
"Literary Tourism: Phoenix Metro Area, AZ",https://bookriot.com/2017/06/04/literary-tourism-phoenix-metro-area-az/
Literary Tourism: Seattle (Take Two),https://bookriot.com/2017/05/28/literary-tourism-seattle-take-two/
Literary Tourism: Travel The World’s Book Towns,https://bookriot.com/2017/05/21/literary-tourism-travel-worlds-book-towns/
Literary Tourism: Hudson Valley,https://bookriot.com/2017/05/14/literary-tourism-hudson-valley/
"Literary Tourism: Portland, Maine",https://bookriot.com/2017/05/07/literary-tourism-portland-maine/
"Literary Tourism: Halifax, Nova Scotia",https://bookriot.com/2017/04/30/literary-tourism-halifax-nova-scotia/
The Best Bookstores in All 50 States + DC,https://bookriot.com/2017/04/28/book-riots-favorite-bookstores-in-all-50-states-dc/
"Literary Tourism: Asheville, NC",https://bookriot.com/2017/04/23/literary-tourism-asheville-nc/
Literary Tourism: 4 UNESCO Cities of Literature You Might Want to Visit,https://bookriot.com/2017/04/16/literary-tourism-4-unesco-cities-literature-might-want-visit/
"Literary Tourism: Rome, Italy",https://bookriot.com/2017/02/26/literary-tourism-rome-italy/
Literary Tourism: Idaho,https://bookriot.com/2017/02/19/literary-tourism-idaho/
Literary Tourism: Cairo for Book Lovers,https://bookriot.com/2017/02/12/literary-tourism-cairo-book-lovers/
"Literary Tour of Chincoteague, Virginia",https://bookriot.com/2017/01/22/literary-tour-chincoteague-virginia/
"A Literary Tour of Lewes, UK",https://bookriot.com/2017/01/08/literary-tour-lewes-uk/
Wintery Bookish Travel Spots (And Staycations),https://bookriot.com/2016/12/20/wintery-bookish-travel-spots-and-staycations/
Literary Tourism: The Baby-Sitters Club Pilgrimage Tour,https://bookriot.com/2016/12/18/literary-tourism-the-baby-sitters-club-pilgrimage-tour/
Literary Tourism: Agatha Christie,https://bookriot.com/2016/12/11/literary-tourism-agatha-christie/
"Bangladeshi Comic ‘Ms Shabash’ Fights Whitening Creams, Auntybots",https://bookriot.com/2016/11/30/bangladeshi-comic-ms-shabash-fights-whitening-creams-auntybots/
"Literary Tourism: Traverse City, Michigan",https://bookriot.com/2016/11/27/literary-tourism-traverse-city-michigan/
Literary Tourism: Big Sur and Monterey,https://bookriot.com/2016/11/20/literary-tourism-big-sur-monterey/
Reading Locally When You Travel,https://bookriot.com/2016/11/16/reading-locally-when-you-travel/
Literary Tourism: Bookish Wanderings in Glasgow,https://bookriot.com/2016/11/06/literary-tourism-bookish-wanderings-glasgow/
Literary Tourism: Japan,https://bookriot.com/2016/10/30/literary-tourism-japan/
"Happy Birthday, Dylan Thomas!",https://bookriot.com/2016/10/27/happy-birthday-dylan-thomas/
Literary Tourism: Martha’s Vineyard,https://bookriot.com/2016/10/16/literary-tourism-marthas-vineyard/
Literary Tourism: Morocco,https://bookriot.com/2016/10/09/literary-tourism-morocco/
Literary Tourism: Marfa & Greater West Texas,https://bookriot.com/2016/09/25/literary-tourism-marfa-greater-west-texas/
"Literary Tourism: Melbourne, Australia",https://bookriot.com/2016/09/18/literary-tourism-melbourne-australia/
"Literary Tourism: Bookish History in New Orleans, LA",https://bookriot.com/2016/09/04/literary-tourism-bookish-history-new-orleans-la/
Literary Tourism: The University of Iowa,https://bookriot.com/2016/08/28/literary-tourism-university-iowa/
"Literary Tourism: Cincinnati, Ohio",https://bookriot.com/2016/08/21/literary-tourism-cincinnati-ohio/
